第一组白,葡萄酒品尝评分,,,,,,,,,,,,
,,,,,,,,,,,,,
,总分：100,干白品种,品酒员1,品酒员2,品酒员3,品酒员4,品酒员5,品酒员6,品酒员7,品酒员8,品酒员9,品酒员10,
26,项目满分,酒样品26,,,,,,,,,,,
外观分析,5,澄清度,4,3,4,4,4,5,4,4,5,4,
15,10,色调,6,8,8,8,8,8,8,10,10,8,
香气分析,6,纯正度,5,5,5,5,5,6,5,5,5,5,
30,8,浓度,7,6,8,8,8,8,7,6,8,7,
,16,质量,14,10,14,12,16,14,14,12,14,14,
口感分析,6,纯正度,4,4,5,4,6,5,4,3,5,4,
44,8,浓度,7,6,6,6,8,8,7,6,8,6,
,8,持久性,7,6,6,6,8,8,7,5,6,7,
,22,质量,13,10,16,13,19,19,16,16,19,19,
平衡/整体评价,11,,8,8,10,9,11,10,9,9,10,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5,,酒样品5,,,,,,,,,,,
外观分析,5,澄清度,4,1,2,3,2,1,2,2,1,2,
,10,色调,6,4,6,6,6,4,6,6,6,4,
香气分析,6,纯正度,6,3,5,4,5,3,6,5,5,5,
,8,浓度,7,4,7,6,7,6,7,7,6,7,
,16,质量,14,10,14,12,14,12,12,14,12,14,
口感分析,6,纯正度,4,2,4,2,5,3,4,4,6,4,
,8,浓度,7,2,7,4,6,6,7,6,8,6,
,8,持久性,7,4,6,5,6,6,6,5,6,6,
,22,质量,19,10,16,10,19,13,16,16,19,16,
平衡/整体评价,11,,10,7,10,8,9,8,8,9,10,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,,酒样品4,,,,,,,,,,,
外观分析,5,澄清度,3,3,4,3,4,5,5,4,5,4,
,10,色调,6,6,8,6,8,8,8,8,10,8,
香气分析,6,纯正度,5,4,5,4,5,5,5,4,6,4,
,8,浓度,6,7,7,4,6,6,7,7,7,6,
,16,质量,14,14,14,10,12,12,14,14,14,12,
口感分析,6,纯正度,3,4,4,4,5,5,6,4,6,5,
,8,浓度,6,7,6,6,6,6,7,6,6,7,
,8,持久性,7,7,6,7,6,7,7,5,6,8,
,22,质量,16,16,16,13,16,19,19,16,16,22,
平衡/整体评价,11,,9,9,10,8,9,10,10,10,9,10,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
23,,酒样品23,,,,,,,,,,,
外观分析,5,澄清度,2,2,4,3,5,3,3,2,5,2,
,10,色调,8,6,8,6,8,6,8,4,8,4,
香气分析,6,纯正度,5,4,4,4,4,5,5,4,5,5,
,8,浓度,6,6,6,7,6,8,6,7,7,7,
,16,质量,14,10,12,12,12,12,12,12,14,14,
口感分析,6,纯正度,4,4,5,3,5,5,4,4,6,5,
,8,浓度,6,7,6,6,7,7,7,7,7,6,
,8,持久性,5,6,6,7,7,7,7,6,6,7,
,22,质量,13,13,19,13,16,19,16,16,19,16,
平衡/整体评价,11,,8,8,10,8,10,10,10,9,10,9,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20,,酒样品20,,,,,,,,,,,
外观分析,5,澄清度,2,2,4,4,4,5,5,3,5,4,
,10,色调,8,8,8,8,8,6,8,4,8,6,
