第二组白,葡萄酒品尝评分,,,,,,,,,,,,
,,,,,,,,,,,,,
酒样号,,项目,,j,品酒员2号,品酒员3号,品酒员4号,品酒员5号,品酒员6号,品酒员7号,品酒员8号,品酒员9号,品酒员10号
26,葡酒萄样品26,外观分析,澄清度,4,4,4,2,2,5,4,3,3,4
,,,色调,8,8,8,8,6,10,8,4,8,8
,,香气分析,纯正度,5,5,5,4,5,4,5,3,3,5
,,,浓度,6,4,6,7,7,4,7,4,4,7
,,,质量,14,10,12,14,14,10,12,10,10,14
,,口感分析,纯正度,4,4,3,5,3,5,5,3,3,5
,,,浓度,7,6,6,7,6,7,6,4,4,6
,,,持久性,6,5,6,7,6,7,7,5,6,6
,,,质量,16,16,16,19,13,22,19,10,13,16
,,平衡/整体评价,,10,10,9,10,9,9,10,7,8,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16,葡萄酒样品16,外观分析,澄清度,3,4,4,1,2,3,3,3,4,3
,,,色调,6,4,6,4,6,4,6,4,6,4
,,香气分析,纯正度,3,4,5,3,4,5,2,4,2,4
,,,浓度,6,4,6,4,4,7,4,6,4,4
,,,质量,10,10,10,10,10,14,12,12,8,10
,,口感分析,纯正度,3,5,5,4,4,6,4,5,2,4
,,,浓度,6,4,7,6,6,7,6,6,4,6
,,,持久性,6,6,7,6,6,8,6,6,5,5
,,,质量,16,13,16,13,16,22,16,16,10,16
,,平衡/整体评价,,9,9,9,9,9,10,8,9,7,8
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,葡萄酒样品3,外观分析,澄清度,3,3,4,4,2,4,3,2,3,3
,,,色调,8,8,8,8,6,8,6,2,6,6
,,香气分析,纯正度,5,4,4,5,5,5,5,2,5,4
,,,浓度,7,7,6,7,7,6,7,2,7,4
,,,质量,14,14,10,14,14,12,14,8,14,12
,,口感分析,纯正度,5,4,4,5,4,5,4,3,5,5
,,,浓度,7,4,6,7,6,7,6,2,7,6
,,,持久性,7,5,7,8,6,7,7,4,7,7
,,,质量,19,16,13,19,19,16,19,13,19,16
,,平衡/整体评价,,10,9,9,10,10,9,9,7,10,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12,葡萄酒样品12,外观分析,澄清度,3,4,4,3,2,3,3,3,3,4
,,,色调,8,8,6,8,6,8,8,4,10,6
,,香气分析,纯正度,5,4,4,5,5,5,4,2,5,5
,,,浓度,7,7,6,7,7,7,6,2,7,7
,,,质量,12,12,12,14,12,13,14,8,14,14
,,口感分析,纯正度,3,5,4,4,4,4,4,2,2,5
,,,浓度,6,6,6,7,4,7,6,2,2,7
,,,持久性,5,6,6,7,6,7,6,4,4,7
,,,质量,16,19,16,16,13,16,19,10,10,19
,,平衡/整体评价,,8,10,9,8,8,9,10,7,7,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11,葡萄酒样品11,外观分析,澄清度,3,4,4,3,3,3,3,2,4,4
,,,色调,8,8,4,4,4,4,8,6,6,6
,,香气分析,纯正度,5,4,4,4,4,5,4,4,3,4
,,,浓度,7,7,7,6,4,6,6,4,4,6
,,,质量,14,14,14,10,10,12,12,10,10,12
,,口感分析,纯正度,4,4,5,4,4,5,4,4,3,5
,,,浓度,7,7,7,4,4,6,7,4,4,6
,,,持久性,6,6,7,6,6,6,8,5,5,7
,,,质量,16,19,16,13,13,16,19,13,13,16
,,平衡/整体评价,,9,10,10,9,8,10,10,9,8,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
21,葡萄酒样品21,外观分析,澄清度,4,3,3,3,3,4,3,3,4,4
,,,色调,8,8,6,8,6,8,8,4,8,8
,,香气分析,纯正度,5,4,5,5,5,4,4,3,5,4
,,,浓度,7,7,7,8,7,6,6,2,7,7
,,,质量,14,12,14,14,14,10,14,10,14,14
,,口感分析,纯正度,5,5,4,5,5,5,5,3,5,5
,,,浓度,6,7,7,7,7,8,6,6,7,7
,,,持久性,6,6,7,6,7,6,6,6,6,7
,,,质量,16,19,16,19,19,16,19,13,19,19
,,平衡/整体评价,,10,9,10,10,10,9,9,8,10,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9,葡萄酒样品9,外观分析,澄清度,3,4,4,4,3,4,4,3,4,3
,,,色调,8,8,8,8,6,10,8,4,8,6
,,香气分析,纯正度,5,4,5,5,5,6,6,4,5,5
,,,浓度,8,7,8,8,7,8,7,4,8,6
,,,质量,16,12,16,14,14,16,14,12,14,14
,,口感分析,纯正度,4,5,5,5,6,5,5,3,4,5
,,,浓度,6,7,7,8,7,7,6,2,6,7
